country_name	income_type	lf_part_rate	year	men_lf_part_rate	women_lf_part_rate	men_sample_size	women_sample_size	men income: mean (std)	women income: mean (std)	mean_ratio	10_percentile	25_percentile	90_percentile
Brazil	INCTOT	0.72	2010	0.76	0.68	"3,627,618.00"	"3,346,584.00"	 2056015.0 (4039851.0) 	 2127567.0 (4091542.0) 	1.04	0.37	1	1
India	INCWAGE	0.16	2004	0.23	0.09	"65,712.00"	"21,276.00"	 682.0 (1085.0) 	 350.0 (609.0) 	0.51	0.53	0.52	0.36
Mexico	INCTOT	0.68	2000	0.8	0.56	"3,848,028.00"	"2,913,775.00"	 3947325.0 (4885709.0) 	 5003819.0 (4998748.0) 	1.27	0.44	0.88	1
Dominican Republic	INCTOT	0.96	2002	0.97	0.96	"413,009.00"	"411,823.00"	 6668193.0 (4711841.0) 	 7874209.0 (4090263.0) 	1.18	1.67	"2,500.00"	1
Jamaica	INCWAGE	1	2001	1	1	"99,662.00"	"105,517.00"	 7171301.0 (4418506.0) 	 7973007.0 (3953872.0) 	1.11	1	24.04	1
Panama	INCTOT	0.55	2010	0.63	0.46	"107,933.00"	"78,574.00"	 6107.0 (22873.0) 	 5452.0 (21791.0) 	0.89	0.8	0.67	0.76
Puerto Rico	INCTOT	0.78	2010	0.82	0.76	"14,068.00"	"14,647.00"	 2593754.0 (4365671.0) 	 2424429.0 (4271950.0) 	0.94	0.73	0.73	1
Trinadad and Tabago	INCTOT	0.76	2000	0.86	0.65	"47,753.00"	"36,695.00"	 4590251.0 (4981801.0) 	 5379356.0 (4984686.0) 	1.17	0.97	0.84	1
Uruguay	INCWAGE	0.29	2006	0.34	0.25	"41,093.00"	"30,436.00"	 7788.0 (8594.0) 	 5695.0 (6003.0) 	0.73	0.55	0.69	0.77
venezuela	INCTOT	0.62	2001	0.73	0.52	"837,478.00"	"602,576.00"	 4706221.0 (4991213.0) 	 6012203.0 (4896375.0) 	1.28	1.2	1.25	1
South Africa	INCTOT	0.59	2011	 0.62 	 0.57 	" 1,323,580.00 "	" 1,304,167.00 "	 1609330.0 (3598992.0) 	 1630784.0 (3642765.0) 	 1.01 	 1.00 	 1.00 	 1.00 
